IDENTYFIKATOR ZAMÓWIENIA,MARKETPLACE,NAZWA CENTRUM HANDLOWEGO,DATA PŁATNOŚCI ZAMÓWIENIA,TYP SPRZEDAŻY,SKU SPRZEDAWCY,STAWKA VAT OD PRZEDMIOTÓW,ILOŚĆ,"KRAJ WYJŚCIA TRANSAKCJI ",KRAJ PRZYBYCIA TRANSAKCJI,CENA PRODUKTÓW (BEZ VAT),CENA DOTACJI (BEZ VAT),CENA DOTACJI DO WYSYŁKI (BEZ VAT),CENA WYSYŁKI (BEZ VAT),"Etykieta wysyłkowa do zwrotu zakupu objętego platformą (wraz z podatkiem, jeśli dotyczy)","Etykieta wysyłkowa do korekty zwrotu zakupu objętego platformą (wraz z podatkiem, jeśli dotyczy)",KWOTA VAT OD PRZEDMIOTÓW,KWOTA VAT DOTACJI,KWOTA PODATKU VAT DOTACJI DO WYSYŁKI,KWOTA VAT WYSYŁKI,PODATEK CAŁKOWITY,WALUTA,IDENTYFIKATOR FAKTURY,IDENTYFIKATOR FAKTURY SUBWENCYJNEJ
PO-162-16817426755192529,PL,ExclusiveKG,2 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-38,
PO-162-20629168968313617,PL,ExclusiveKG,6 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,INV-PL-1220800-2026-43,
PO-162-01671879826552179,PL,ExclusiveKG,7 sty. 2026,sales,61776662144869,23%,1,PL,PL,"77,91","9,82","0,00","0,00","0,00","0,00","17,92","2,26","0,00","0,00","20,18",PLN,INV-PL-1220800-2026-56,INV-PL-1220800-2026-57
PO-162-09117123520632600,PL,ExclusiveKG,13 sty. 2026,sales,55746528071538,23%,1,PL,PL,"1,71","37,29","0,00","0,00","0,00","0,00","0,40","8,58","0,00","0,00","8,98",PLN,INV-PL-1220800-2026-97,INV-PL-1220800-2026-98
PO-162-02342289610872279,PL,ExclusiveKG,23 sty. 2026,sales,64783139262991,23%,1,PL,PL,"16,65","0,00","0,00","10,56","0,00","0,00","3,83","0,00","0,00","2,43","6,26",PLN,INV-PL-1220800-2026-157,
PO-162-16790190398072179,PL,ExclusiveKG,13 sty. 2026,return,61776662144869,23%,1,PL,PL,"-97,38","0,00","0,00","0,00","0,00","0,00","-22,40","0,00","0,00","0,00","-22,40",PLN,CN-PL-1220800-2026-3,
PO-162-02573864266871411,PL,ExclusiveKG,23 sty. 2026,sales,58718645412546,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-166,
PO-162-08785197614713349,PL,ExclusiveKG,29 sty. 2026,sales,58718645412546,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-196,
PO-162-04731289539190070,PL,ExclusiveKG,3 sty. 2026,sales,63133871828449,23%,2,PL,PL,"46,64","0,00","0,00","10,56","0,00","0,00","10,72","0,00","0,00","2,43","13,15",PLN,,
PO-162-18051007652472598,PL,ExclusiveKG,10 sty. 2026,sales,68846178312392,23%,1,PL,PL,"16,65","0,00","0,00","10,56","0,00","0,00","3,83","0,00","0,00","2,43","6,26",PLN,INV-PL-1220800-2026-88,
PO-162-04123070510710401,PL,ExclusiveKG,11 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,INV-PL-1220800-2026-83,
PO-162-17211748137593792,PL,ExclusiveKG,18 sty. 2026,sales,57438745163661,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-117,
PO-162-10886736502390788,PL,ExclusiveKG,21 sty. 2026,sales,65934190508958,23%,1,PL,PL,"57,06","6,94","0,00","0,00","0,00","0,00","13,12","1,60","0,00","0,00","14,72",PLN,,
PO-162-21960389863030288,PL,ExclusiveKG,22 sty. 2026,sales,58718645412546,23%,1,PL,PL,"8,62","2,38","0,00","10,56","0,00","0,00","1,98","0,55","0,00","2,43","4,96",PLN,INV-PL-1220800-2026-140,INV-PL-1220800-2026-141
PO-162-02570948457591458,PL,ExclusiveKG,23 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-155,
PO-162-14041606605431904,PL,ExclusiveKG,28 sty. 2026,sales,58718645412546,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-186,
PO-162-09597440361590283,PL,ExclusiveKG,13 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-95,
PO-162-21612822779512392,PL,ExclusiveKG,22 sty. 2026,sales,55746528071538,23%,1,PL,PL,"38,96","0,04","0,00","10,56","0,00","0,00","8,97","0,01","0,00","2,43","11,41",PLN,INV-PL-1220800-2026-150,INV-PL-1220800-2026-151
PO-162-08716639109752925,PL,ExclusiveKG,29 sty. 2026,return,55995636157652,23%,1,PL,PL,"-17,76","0,00","0,00","0,00","0,00","0,00","-4,09","0,00","0,00","0,00","-4,09",PLN,,
PO-162-16917058279031935,PL,ExclusiveKG,2 sty. 2026,sales,56811679933856,23%,1,PL,PL,"10,36","0,64","0,00","10,56","0,00","0,00","2,39","0,15","0,00","2,43","4,97",PLN,INV-PL-1220800-2026-21,INV-PL-1220800-2026-22
PO-162-15728543977590091,PL,ExclusiveKG,4 sty. 2026,sales,52808770449590,23%,2,PL,PL,"24,42","0,00","0,00","10,56","0,00","0,00","5,62","0,00","0,00","2,43","8,05",PLN,INV-PL-1220800-2026-36,
PO-162-20886659784312080,PL,ExclusiveKG,6 sty. 2026,sales,55712168313383,23%,2,PL,PL,"48,84","0,00","0,00","10,56","0,00","0,00","11,24","0,00","0,00","2,43","13,67",PLN,INV-PL-1220800-2026-51,
PO-162-09031383647353113,PL,ExclusiveKG,13 sty. 2026,return,55746528071538,23%,1,PL,PL,"-43,29","0,00","0,00","-10,56","0,00","0,00","-9,96","0,00","0,00","-2,43","-12,39",PLN,,
PO-162-06751770865270861,PL,ExclusiveKG,17 sty. 2026,sales,65470333998831,23%,1,PL,PL,"15,54","0,00","0,00","10,56","0,00","0,00","3,58","0,00","0,00","2,43","6,01",PLN,INV-PL-1220800-2026-123,
PO-162-15916379057273323,PL,ExclusiveKG,20 sty. 2026,sales,64783139262991,23%,1,PL,PL,"16,65","0,00","0,00","10,56","0,00","0,00","3,83","0,00","0,00","2,43","6,26",PLN,INV-PL-1220800-2026-127,
PO-162-18178210350712384,PL,ExclusiveKG,10 sty. 2026,sales,70246337646901,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-78,
PO-162-18430010773110885,PL,ExclusiveKG,10 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-71,
PO-162-09117123520632600,PL,ExclusiveKG,13 sty. 2026,sales,61974230650572,23%,1,PL,PL,"0,30","6,70","0,00","0,00","0,00","0,00","0,07","1,54","0,00","0,00","1,61",PLN,INV-PL-1220800-2026-97,INV-PL-1220800-2026-98
PO-162-17497406024312314,PL,ExclusiveKG,18 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-119,
PO-162-21772826593911182,PL,ExclusiveKG,23 sty. 2026,sales,68224213324370,23%,1,PL,PL,"70,46","24,54","0,00","0,00","0,00","0,00","16,20","5,64","0,00","0,00","21,84",PLN,INV-PL-1220800-2026-148,INV-PL-1220800-2026-149
PO-162-14383657697913963,PL,ExclusiveKG,28 sty. 2026,sales,66105989168936,23%,1,PL,PL,"14,43","0,00","0,00","10,56","0,00","0,00","3,32","0,00","0,00","2,43","5,75",PLN,INV-PL-1220800-2026-191,
PO-162-10124446815351492,PL,ExclusiveKG,5 sty. 2026,sales,61776662144869,23%,1,PL,PL,"97,38","0,00","0,00","0,00","0,00","0,00","22,40","0,00","0,00","0,00","22,40",PLN,INV-PL-1220800-2026-59,
PO-162-20274457226871635,PL,ExclusiveKG,14 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,INV-PL-1220800-2026-103,
PO-162-06668059756151326,PL,ExclusiveKG,17 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,,
PO-162-13076838221433606,PL,ExclusiveKG,24 sty. 2026,sales,58718645412546,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-160,
PO-162-02828327503990068,PL,ExclusiveKG,27 sty. 2026,sales,55712168313383,23%,1,PL,PL,"24,42","0,00","0,00","10,56","0,00","0,00","5,62","0,00","0,00","2,43","8,05",PLN,INV-PL-1220800-2026-179,
PO-162-08536903347831885,PL,ExclusiveKG,29 sty. 2026,return,58718645412546,23%,1,PL,PL,"-12,21","0,00","0,00","-10,56","0,00","0,00","-2,81","0,00","0,00","-2,43","-5,24",PLN,,
PO-162-19414121408631435,PL,ExclusiveKG,30 sty. 2026,sales,58778774990010,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,,
PO-162-19765769316473499,PL,ExclusiveKG,30 sty. 2026,sales,58718645412546,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,,
PO-162-15728586430070091,PL,ExclusiveKG,4 sty. 2026,sales,52808770449590,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-42,
